i;prices_koCall;prices_kiCall;prices_koPut;prices_kiPut;richardson_koCall;richardson_kiCall;richardson_koPut;richardson_kiPut;cv_koCall;cv_kiCall;cv_koPut;cv_kiPut;
0;0;-1.#IND;0;-1.#IND;9.38454;-1.#IND;10.3802;-1.#IND;-1.#IND;-1.#IND;-1.#IND;-1.#IND;
90;2.53992;1.19501;3.15979;1.07265;2.15753;1.55717;2.78578;1.42643;2.52908;1.18418;3.14895;1.06181;
91;2.30223;1.41283;2.92672;1.28587;2.3628;1.37191;2.98687;1.24534;2.31126;1.42186;2.93573;1.29488;
92;2.50773;1.22698;3.12857;1.10366;2.12611;1.58918;2.75419;1.4586;2.49711;1.21636;3.11794;1.09303;
93;2.27005;1.44478;2.89483;1.31752;2.33204;1.40326;2.95652;1.27629;2.27931;1.45404;2.90408;1.32677;
94;2.47614;1.25836;3.09783;1.13419;2.09543;1.62042;2.72326;1.4901;2.46573;1.24795;3.08741;1.12377;
95;2.23859;1.47603;2.86356;1.34857;2.30191;1.43395;3.4703;0.763065;2.24806;1.48551;2.87303;1.35804;
96;2.44515;1.28915;3.06758;1.16423;2.06547;1.6509;3.23778;0.976101;2.43495;1.27894;3.05737;1.15402;
97;2.20781;1.50659;3.21431;0.99761;2.27237;1.46401;3.06264;1.17125;2.21751;1.51628;3.22399;1.00729;
98;2.41474;1.31935;3.03781;1.1938;2.59177;1.1251;3.21028;1.0041;2.40474;1.30935;3.0278;1.18379;
99;2.17772;1.53647;3.18585;1.02586;2.79919;0.937684;3.03423;1.20015;2.18762;1.54637;3.19574;1.03575;
100;2.38491;1.34898;3.00852;1.22289;2.56353;1.15381;3.18309;1.03176;2.37511;1.33918;2.99871;1.21308;
101;2.53889;1.1755;3.15816;1.05375;2.38123;1.35572;3.00585;1.2286;2.54859;1.1852;3.16785;1.06344;
102;2.35565;1.37805;2.97971;1.25151;2.53572;1.18208;3.15623;1.05907;2.34604;1.36844;2.97009;1.24189;
103;2.51103;1.20392;3.1312;1.08126;2.3525;1.38412;2.97753;1.2566;2.52017;1.21306;3.14034;1.0904;
104;2.32695;1.40656;2.95137;1.27966;2.50832;1.2099;3.1297;1.08602;2.31753;1.39715;2.94194;1.27023;
105;2.4836;1.23189;3.10459;1.10841;2.32432;1.41199;2.94967;1.28415;2.4922;1.24049;3.11319;1.117;
106;2.29879;1.43453;2.92349;1.30734;2.48133;1.23728;3.1035;1.11262;2.28956;1.4253;2.91425;1.29811;
107;2.4566;1.25939;3.07833;1.13518;2.29666;1.43935;2.92226;1.31126;2.4647;1.26749;3.08642;1.14327;
108;2.27118;1.46196;2.89608;1.33457;2.45477;1.26422;3.07763;1.13887;2.26213;1.45291;2.88702;1.32552;
109;2.43003;1.28644;3.05241;1.16158;2.26953;1.46619;2.89529;1.33793;2.43765;1.29406;3.06002;1.16919;
110;2.2441;1.48887;2.86912;1.36135;2.42862;1.29074;3.0521;1.16476;2.23523;1.48;2.86024;1.35248;
111;2.40389;1.31305;3.02684;1.18761;2.2429;1.49253;2.86877;1.36417;2.41104;1.3202;3.03399;1.19476;
